,Artefact,Subject,AUC,PSD,AutoCorr,SampEn
0,0,1,0.18372953908298917,0.9998692263862452,0.9972596347150325,0.3635493794633705
1,0,1,0.18056310855213575,0.9998762840577072,0.9974627731042138,0.31358551917680855
2,0,1,0.1817993548970548,0.9998705278320577,0.9974414686680693,0.32001546146893467
3,0,1,0.1854312241883459,0.9998712055960172,0.9974077631260396,0.3153569989553064
4,0,1,0.17935700720465442,0.9998673903946558,0.9972187860368783,0.3201361028872508
5,0,1,0.18043137491333316,0.9998685019635993,0.997310370736138,0.3432377583977609
6,0,1,0.18472341964850936,0.9998682593740889,0.9973376530951719,0.315395498375818
7,0,1,0.1826590902239773,0.9998805943918728,0.9974975973576755,0.32218789626696875
8,0,1,0.18166731980827777,0.9998774713904828,0.9974186078862757,0.3155475882211945
9,0,1,0.185028788472553,0.9998720271621623,0.9973373968939027,0.3152654694956791
10,0,1,0.1861782172248515,0.9998765126417174,0.9974972179604041,0.32238882581456146
11,0,1,0.1825038434871733,0.9998735432854742,0.9973167642541889,0.3349529018715526
12,0,1,0.1853860066921894,0.9998748967367902,0.997426857818826,0.32230868770557286
13,0,1,0.18622313327103368,0.9998705617496566,0.997410837076157,0.38334568682482334
14,0,1,0.18224097910951675,0.9998710227728483,0.9973829232847433,0.3297705104781785
15,0,1,0.18331052361860545,0.9998770790895988,0.9974772638857711,0.35307748876176026
16,0,1,0.1879082386277997,0.9998733391942277,0.9974624804578182,0.34351408116478466
17,0,1,0.18139661773128746,0.9998685798618228,0.997225842450419,0.3490700730404836
18,0,1,0.1830639375395653,0.9998698431611409,0.9973842437842635,0.34445387321614035
19,0,1,0.1871928978386037,0.999869694732369,0.9973573143441404,0.3567188064735553
20,0,1,0.18247430138968435,0.9998735755142266,0.9974715650231921,0.3023083872041339
21,0,1,0.18396949326259304,0.9998723827240562,0.997329546027106,0.3249504207487558
22,0,1,0.1823021734543152,0.9998739919443042,0.9974562799915458,0.3090150931053829
23,0,1,0.1825957857293582,0.9998770074262344,0.9974881560937979,0.31896503350574773
24,0,1,0.1855931028245863,0.9998677286051247,0.9973452676155636,0.3194546011890743
25,0,1,0.18131733638802638,0.9998747531255368,0.9973574734936125,0.3398678256223512
